hin,hout,
2132,1904
2591,2665
2408,2464
2158,2133
2220,2320
2636,2579
2909,2897
1721,2055
1367,1417
1084,1145
880,1064
579,772
421,483
223,316
144,261
91,189
90,130
108,121
206,231
691,627
1854,1592
1960,1898
1733,1564
1576,1654
1817,2092
2403,2675
2230,2601
1918,2384
2344,2281
2472,2365
2787,2620
2003,1632
1375,1274
1081,1048
1271,949
770,783
513,596
332,410
261,320
214,299
172,196
120,128
224,121
659,199
1786,385
2015,545
1749,780
1699,901
2157,1105
2952,1362
2751,1477
2429,1398
2465,1412
2627,1480
2759,1313
2006,1336
1349,1099
1222,930
1409,983
941,744
715,597
514,459
441,410
377,406
249,203
180,113
147,90
233,154
361,238
568,322
861,534
986,607
1190,776
1346,1085
1575,1228
1513,1205
1246,1164
1301,1070
1508,1121
1437,1182
932,927
784,802
1077,689
688,589
523,463
417,336
352,217
331,130
172,118
132,108
100,185
123,633
185,1425
355,1314
525,1082
729,1180
927,1485
1204,1850
1332,1792
1301,1777
1487,1756
1401,1821
1180,2050
1186,1470
1260,1063
817,843
664,689
609,591
487,433
294,219
241,148
167,93
115,78
103,98
186,221
485,670
1037,1165
1191,1148
1174,1442
1227,1648
1526,1549
1994,1993
2004,1927
1775,1722
1782,1959
1967,2279
2165,2502
1601,1617
1178,1232
887,939
834,752
564,671
380,400
212,218
148,137
62,111
105,91
93,80
211,223
744,736
2047,1796
2079,2065
1840,1514
1663,1477
1936,1874
2598,2456
2385,2299
2026,2028
2320,2096
2630,2585
2847,2898
1740,2056
1336,1299
1013,1055
884,1312
684,738
420,459
238,271
193,137
134,103
99,80
90,79
206,204
721,740
1913,1895
2176,1959
1701,1783
1567,1576
1975,1840
2570,2457
2311,2246
2063,2049
2211,2254
2557,2488
2922,2853
1911,1882
1674,1439
1017,1125
828,911
1161,703
473,539
261,371
195,206
103,204
102,142
102,111
214,235
686,650
1983,1714
2106,2025
1789,1614
1701,1604
1952,1989
2613,2668
2369,2514
2033,2253
2305,2288
2615,2589
2881,2591
2096,1752
1481,1462
1105,1092
1032,913
826,815
573,702
334,464
275,403
241,351
174,246
152,159
244,135
655,249
1796,375
1997,594
1700,825
1777,934
2210,1137
2861,1365
2690,1468
2417,1425
2382,1371
2749,1424
2705,1387
1877,1487
1568,1354
1204,886
1056,819
906,1367
797,763
576,493
426,406
350,344
246,201
170,155
159,108
280,140
404,227
688,407
865,596
993,777
1223,937
1514,1260
1496,1393
1621,1425
1494,1263
1421,1370
1368,1413
1456,1283
1135,1141
997,839
1070,742
920,506
673,429
458,250
412,113
342,69
217,60
147,85
136,212
147,757
215,1727
338,2015
526,1603
745,1525
882,1843
1143,2451
1370,2255
1398,1971
1289,2004
1294,2521
1465,2737
1300,1652
1030,1332
874,1081
734,792
531,579
397,373
216,231
134,128
82,82
73,70
100,73
228,239
662,767
1817,1946
2142,1962
1662,1679
1598,1652
1948,1740
2468,2518
2327,2217
2048,1825
2166,2212
2419,2532
2888,2802
1924,1850
1359,1426
1074,1073
909,884
580,636
419,460
225,269
160,163
63,113
91,88
83,84
197,216
718,753
1974,1792
2024,2047
1712,1609
1680,1618
1853,1937
2581,2462
2226,2274
1963,2030
2191,2125
2507,2459
2831,2855
1884,1940
1406,1304
1145,1004
897,1230
663,638
399,479
228,270
145,156
112,90
81,96
90,91
206,233
723,801
1914,1897
2274,1948
1640,1676
1636,1613
1996,1827
2620,2505
2392,2308
2133,1976
2235,2248
2492,2601
2919,2873
2086,1929
1563,1536
1107,1254
1310,999
654,738
449,515
253,341
150,244
126,160
100,142
102,128
210,220
690,622
2054,1698
2022,1989
1791,1581
1657,1678
1916,2115
2636,2768
2445,2630
2040,2349
2377,2395
2709,2660
2915,2636
1951,2092
1498,1480
1132,1115
897,1405
754,883
567,686
354,507
244,369
203,308
162,239
155,148
232,154
673,263
1759,408
2027,742
1766,1021
1802,1141
2233,1377
2948,1576
2807,1709
2466,1649
2432,1845
2667,1580
2791,1437
2132,1623
1618,1217
1129,1011
1585,1435
1097,819
692,678
536,499
386,422
366,343
243,193
176,117
151,102
272,132
499,239
747,382
1065,595
1280,799
1455,936
1652,1298
1665,1467
1563,1590
1577,1559
1916,1504
1417,1689
1710,1214
1281,740
1026,668
1332,482
1033,856
681,554
445,348
366,165
288,100
